"","population","emp_to_pop","hci","consumption_hg","absorption","tfp","labor_share","irr","depreciation","exchange","share_house","share_gov","share_exports","share_imports","cpi","cpi_change","recession"
"1",28.84962082,0.239666844,1.547767282,99010.17188,131991.375,0.648979425,0.483403444,0.119198628,0.043678686,10.6256361,0.618509114,0.134649411,0.121411256,-0.182028159,327.86,0.264843177,0
"2",45.72831345,0.297929335,2.086036682,316862.6563,374842.3438,0.719389796,0.561061502,0.108611055,0.042740334,6.939828396,0.670726597,0.133379981,0.135068387,-0.130605608,327.86,0.264843177,0
"3",33.262043,0.400571109,1.498782635,29762.87695,36584.99219,0.308651537,0.506037593,0.188335508,0.045847192,800.4085083,0.672994316,0.129642859,0.035280515,-0.087737024,327.86,0.264843177,0
"4",8.02570343,0.482076119,1.356150866,6488.692871,7006.969727,0.205865011,0.74101007,0.080583602,0.048115551,389.696228,0.86928314,0.229176283,0.024138223,-0.017928151,327.86,0.264843177,0
"5",1.061468005,0.228928239,1.676330209,7620.1875,8419.264648,0.959764898,0.612078846,0.033991098,0.057298772,6.939828396,0.845481694,0.130042002,0.234137088,-0.291399509,327.86,0.264843177,0
"6",4.970366955,0.448055449,1.703795314,5893.620117,6921.736328,0.208088189,0.806201458,0.01,0.03019949,711.9762573,0.789053738,0.133638754,0.058745138,-0.10874363,327.86,0.264843177,1
"7",11.60794163,0.403529582,1.069451332,11611.43066,13619.13965,0.373559386,0.599852443,0.089186676,0.046962325,711.9762573,0.738973677,0.148541614,0.028176624,-0.119656183,327.86,0.264843177,0
"8",16.44092369,0.4384057,1.296940804,18216.63867,31415.11328,0.125469387,0.284878641,0.054977842,0.06750378,10.04054451,0.277222514,0.241220623,0.591017067,-0.083334252,327.86,0.264843177,0
"9",9.699196815,0.28430599,1.872124791,62296.11328,78025.15625,0.770887971,0.513467193,0.106085636,0.051684685,1.370683312,0.628701508,0.148428619,0.162494943,-0.230510712,327.86,0.264843177,0
"10",122.3520126,0.320174512,1.459426403,56637.38672,63832.07031,0.416523665,0.254564166,0.158207089,0.036960877,101.6973343,0.431855559,0.030472402,0.550462961,-0.094086953,327.86,0.264843177,0
"11",31.45048332,0.378054857,1.935851216,58102.5625,65074.57031,0.367772847,0.604254127,0.107153758,0.038896833,76.17554474,0.837335587,0.100604169,0.051645041,-0.096063003,327.86,0.264843177,0
"12",6.400705814,0.416829028,1.206392884,4015.767578,4251.780762,0.158038244,0.800393045,0.01,0.031005615,720.6733398,0.814330697,0.16877605,0.027593516,-0.068479046,327.86,0.264843177,1
"13",6.865951061,0.392953566,1.410264611,9335.87793,11089.3457,0.283624321,0.617155015,0.041199815,0.043546833,711.9762573,0.792267919,0.111504957,0.035994552,-0.11147847,327.86,0.264843177,0
"14",1.899256945,0.247425453,2.001039267,8439.121094,10249.52734,0.749599338,0.624426246,0.134349734,0.056275979,6.939828396,0.678136706,0.186301738,0.268742204,-0.313437462,327.86,0.264843177,0
"15",3.754986048,0.387484807,1.397580743,3334.499512,3632.070801,0.397973508,0.231892437,0.207176194,0.035732269,711.9762573,0.787728667,0.213849038,0.048247173,-0.042568378,327.86,0.264843177,1
"16",27.25053406,0.1993696,1.386448741,52902.03906,56474.52344,0.998187423,0.736046731,0.229548037,0.057008687,2.571224928,0.975196362,0.032420829,0.012754353,-0.052250825,327.86,0.264843177,0
"17",1.231122017,0.230683884,2.122700691,6589.850586,7705.503418,0.742088377,0.334146738,0.068139717,0.09394379,711.9762573,0.348598778,0.161367282,0.518759906,-0.163302019,327.86,0.264843177,1
"18",11.35297298,0.421675373,1.117957711,7258.485352,8177.774902,0.18586494,0.615220368,0.033590578,0.024867065,711.9762573,0.735451698,0.192101136,0.065785363,-0.091680177,327.86,0.264843177,1
"19",4.564297199,0.344412285,1.360252857,4318.947754,4588.447754,0.243227214,0.535166621,0.094959587,0.04030719,2092.125,0.894095659,0.129678413,0.063769147,-0.16264537,327.86,0.264843177,0
"20",1.868698955,0.33285189,2.023988724,5175.336914,6040.560547,0.336708039,0.668069482,0.010809303,0.052876431,6.939828396,0.8998909,0.210374624,0.144297153,-0.454141736,327.86,0.264843177,0
"21",2.709358931,0.243655619,1.488011718,5119.423828,5918.274414,0.458116025,0.605201364,0.052578077,0.034271322,238.9233398,0.686921656,0.260617733,0.136832267,-0.232228667,327.86,0.264843177,1
"22",9.884052277,0.29762755,1.312416196,20613.18555,24426.91016,0.538622975,0.383378386,0.168072522,0.03883525,711.9762573,0.760354698,0.109297447,0.110051967,-0.161812276,327.86,0.264843177,0
"23",1.18514502,0.41129988,2.283645391,12053.27637,15955.18848,0.859434307,0.482990921,0.14922069,0.043946389,26.2495575,0.549907327,0.136655822,0.184449002,-0.249658704,327.86,0.264843177,0
"24",1.72834003,0.294627216,2.460947275,10643.74023,15309.99609,0.786718249,0.277960986,0.312779188,0.066136435,5.101815701,0.456926703,0.193518221,0.334387004,-0.272928715,327.86,0.264843177,0
"25",15.27423382,0.379020641,1.738680601,32063.32031,37070.6875,0.436343163,0.50265944,0.106986716,0.043769691,711.9762573,0.746106029,0.104146011,0.107052647,-0.086310297,327.86,0.264843177,0
"26",12.22225094,0.400271021,2.068792343,20437.26953,33031.09766,0.401048899,0.550735414,0.185118601,0.040949576,1,0.465726227,0.177661762,0.120878629,-0.061145753,327.86,0.264843177,1
"27",18.06768608,0.377382921,1.129434109,11940.60254,14452.8623,0.457642436,0.428279638,0.286037475,0.038496576,15.2272501,0.897738099,0.106967643,0.106608607,-0.322700858,327.86,0.264843177,0
"28",16.98326683,0.439649447,1.308486342,24569.13672,36884.26563,0.129222795,0.284878641,0.031146472,0.066853076,22.05786133,0.465406597,0.195067167,0.441213965,-0.179746985,290.16,-0.114988105,0
"29",8.329405785,0.483347807,1.375628233,6808.961426,7366.098633,0.21272023,0.74101007,0.072339125,0.047600288,442.9918823,0.820249617,0.226592481,0.057542808,-0.085924715,290.16,-0.114988105,0
